562	80860
555	512
21	168252
357	4622
273	532
570	1036
317	457
292	59784
489	4239
377	2791
174	196
169	3594
414	8833
47	72395
190	4299
480	5349
68	2338
274	2953
380	171763
489	59315
28	3994
94	356
222	79695
305	158027
610	4553
84	1077
606	1968
555	2436
52	47610
68	51084
202	1095
249	122924
89	149352
580	3498
456	1
121	434
160	1200
14	19
608	356
249	45081
313	2363
312	968
448	103543
66	2257
600	1784
28	48385
217	1234
381	4023
232	49284
387	5617
610	74750
474	101
68	932
567	167746
222	106782
166	54286
105	81562
20	3744
6	179
375	344
553	733
604	592
345	5900
599	6238
414	4941
70	1272
405	7371
1	2641
177	223
266	440
489	1036
469	47
18	80489
7	8984
200	4239
367	2109
448	80126
167	2791
63	3755
279	780
489	3793
165	249
377	2793
452	1876
411	529
562	1961
50	6711
525	2083
599	8984
599	1701
63	208
387	1394
129	41566
510	497
376	4973
586	6365
599	3176
365	46335
426	54272
68	5444
534	1784
336	7153
504	1
590	35957
339	1748
313	4553
161	3751
559	196
36	2194
509	67408
28	345
597	6
608	4641
153	40819
241	593
111	117851
275	535
7	8908
235	223
340	1356
287	337
537	69481
580	2393
313	5378
509	455
599	704
603	1397
135	2353
453	1883
448	94896
438	3175
438	34338
601	72998
247	47
230	47
482	786
64	3362
220	57368
169	2084
600	1573
69	4448
599	8809
523	3949
79	3578
139	53519
11	2027
606	3681
332	3033
353	553
341	114662
382	5378
517	63082
298	79553
448	109895
597	2076
590	8965
560	47997
387	2084
445	541
474	1673
39	1210
159	84954
610	81932
509	8972
42	344
492	719
425	2959
122	55820
509	17
305	56145
119	6378
57	153
217	2993
577	2950
414	6162
103	2059
603	1377
325	1219
367	39
151	742
160	1589
368	798
219	586
313	4901
599	94864
490	7361
603	1735
352	3977
254	48394
570	508
317	589
610	38038
380	51927
335	805
23	175
119	356
141	3147
466	111759
156	778
1	1291
384	2856
307	8665
105	1199
466	68358
580	53996
318	51255
117	141
166	6874
337	350
305	76251
381	44195
599	1431
256	6947
474	8057
480	2028
306	136016
63	92535
528	51037
131	64614
596	1270
477	905
249	86833
448	4053
160	2340
387	4226
357	953
472	858
410	2150
434	6796
465	1269
318	2000
68	2395
476	357
202	3269
68	62
597	1392
313	4571
606	8487
105	55721
548	356
610	55280
290	2560
590	4878
28	33166
606	34437
89	5218
57	2761
51	2942
480	26965
307	7371
475	592
184	122892
182	293
552	914
148	152081
182	3969
414	48
573	5064
489	1246
95	3840
520	1214
462	134214
292	3861
141	99114
408	132046
288	4896
89	915
294	441
58	196
590	1653
111	5449
448	4085
280	3617
527	3072
373	364
410	593
305	1954
318	3147
318	81229
348	6893
381	5816
381	3254
580	1136
151	1432
596	2985
63	924
287	8949
503	364
101	3717
599	293
18	114060
186	952
107	253
177	6412
313	2527
525	45722
599	1212
298	138798
186	196
307	1405
195	260
294	3
414	6116
3	914
477	516
319	6942
534	71530
221	608
212	32587
68	118696
432	81417
528	81834
341	134853
317	68358
100	104
233	924
357	898
460	6502
68	55282
475	59615
474	246
599	2617
307	6558
593	3578
223	3863
448	5248
462	189713
52	54995
381	45431
113	3476
132	4361
237	3617
575	2598
63	1732
182	1429
177	2248
387	2644
438	2058
150	7
45	5445
524	110
16	3000
474	2064
150	95
247	89745
560	2291
234	2568
414	4351
601	1136
19	1356
294	296
230	367
414	8966
438	36525
525	915
606	2843
139	66097
177	89753
177	5952
294	2395
64	4975
98	82461
419	52245
147	151
16	60069
122	47
68	2145
313	3396
125	161582
221	4973
160	991
317	4148
63	3535
562	4019
241	27803
414	3273
20	5463
414	79695
322	2052
226	55269
395	455
64	2394
288	3869
526	60069
213	4132
381	4878
10	31433
573	46347
480	6290
249	1219
43	484
62	33162
127	2144
484	2706
370	7438
57	2951
298	69524
6	355
489	1967
9	5890
380	96079
249	99750
387	1235
322	1203
383	2906
57	2273
391	70
68	95875
135	3481
250	1674
425	6874
103	101
164	1200
603	2422
288	2400
195	4306
274	4034
306	64969
59	3471
580	3275
534	81847
114	122886
514	2517
357	2115
304	2761
91	3810
61	293
438	3981
391	5475
587	2259
103	750
226	51088
217	1445
534	50872
575	2542
64	6323
448	3030
457	2094
140	4047
477	551
596	96079
474	30820
273	34
378	36
600	3160
159	65230
477	1033
314	110
603	4380
62	47610
474	1249
318	2699
203	2407
291	134853
153	173145
525	7022
414	5080
301	3948
380	2542
524	1020
100	2248
351	1193
368	1909
314	23
474	5791
551	1370
536	165
246	6539
29	1204
89	1080
274	1863
68	1994
68	1287
610	39801
381	5630
182	4951
380	55282
448	7458
274	47
263	7143
256	6586
63	1198
181	47
564	49286
517	101577
80	4886
160	2959
219	34338
286	364
391	1719
254	30749
89	6156
182	2968
102	802
517	69844
200	1527
83	4995
594	6659
489	2701
387	8783
603	3415
440	7361
414	1242
63	3552
610	3911
474	2529
74	6993
380	115149
455	590
219	27660
200	4623
42	144
475	4370
599	5548
37	329
180	1748
487	1197
599	53022
606	2283
18	111362
305	70286
414	7143
226	1544
39	1967
356	2353
348	1801
489	1727
24	134130
554	1380
469	3763
31	1282
449	1090
448	78116
298	136449
475	8371
519	104211
349	555
601	7153
42	509
91	8910
307	44840
432	1653
572	1952
509	104841
217	919
474	296
249	3536
186	541
329	1884
382	37741
191	312
164	2640
474	1500
438	5313
600	2012
555	231
489	2959
441	10
129	8368
24	1527
357	1080
249	1831
464	344
354	353
414	3251
475	4366
503	356
474	1639
381	4019
111	7285
1	3052
207	100
13	3897
477	3745
31	612
189	1265
519	72998
558	662
365	3753
279	1208
560	1208
401	239
594	2175
414	58047
599	4498
561	91485
561	2329
480	3911
474	6724
232	1036
18	5120
154	115617
387	7766
438	34162
483	2539
381	4016
7	8808
561	79057
16	1199
452	1997
452	2700
348	2324
474	6039
266	17
514	1584
275	373
554	1208
288	4343
200	5952
104	56171
123	1196
480	4018
298	68237
387	1201
28	31225
599	79132
280	3753
292	5218
292	71535
357	5502
425	8807
404	474
307	1197
414	91542
288	3827
298	2683
380	58404
555	1517
580	485
160	1028
571	1355
534	2355
517	3948
414	587
610	3893
452	880
167	4011
27	3033
111	719
91	3421
136	181
352	71745
275	541
474	6869
28	1047
280	67087
339	30812
405	53519
417	106782
21	50872
28	3950
325	3981
275	4978
483	1198
534	2720
590	4974
275	2248
292	83613
414	85414
527	4508
111	1777
390	5220
14	524
213	1920
82	3717
234	1215
380	1214
387	8228
448	3146
94	292
414	2067
504	2001
368	4002
19	3056
512	356
249	1356
560	5782
432	1835
425	7147
36	1252
580	8961
